date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:04:25	1378/1378	---MCZ	200	added ('OK')	text/html	date:Mon,%2013%20Nov%202023%2008:04:24%20GMT	https://sgstudio.site/	C:/My%20Web%20Sites/AykunCraftPROJECT/sgstudio.site/index.html	(from )
15:04:26	1473/1473	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2013%20Nov%202023%2008:04:24%20GMT	https://sgstudio.site/robots.txt		(from )
15:04:26	29271/29271	---MCZ	200	added ('OK')	text/css	etag:W/%2261b1c37a07dba3c9d56d2c788a195596%22	https://sgstudio.site/src/Styles/style.css	C:/My%20Web%20Sites/AykunCraftPROJECT/sgstudio.site/src/Styles/style.css	(from https://sgstudio.site/)
15:04:26	280715/280715	---MCZ	200	added ('OK')	text/css	etag:W/%22006b1a72c4a9611e62191459a6128364%22	https://sgstudio.site/src/Module/bootstrap-5.3.1-dist/css/bootstrap.css	C:/My%20Web%20Sites/AykunCraftPROJECT/sgstudio.site/src/Module/bootstrap-5.3.1-dist/css/bootstrap.css	(from https://sgstudio.site/)
15:04:27	4673/4673	---MCZ	200	added ('OK')	text/css	etag:W/%2245c9f647f054d4bad35e01e6dededaf2%22	https://sgstudio.site/src/Styles/uiball.css	C:/My%20Web%20Sites/AykunCraftPROJECT/sgstudio.site/src/Styles/uiball.css	(from https://sgstudio.site/)
15:04:27	32174/32174	---M--	200	added ('OK')	image/png	etag:%22055a91979264664a1ee12b9453610d82%22	https://sgstudio.site/src/Assets/favicon.png	C:/My%20Web%20Sites/AykunCraftPROJECT/sgstudio.site/src/Assets/favicon.png	(from https://sgstudio.site/)
15:04:28	25734/25734	---MCZ	200	added ('OK')	text/css	etag:W/%223462897a0575fbd5af2c23afac8bb578%22	https://sgstudio.site/src/Module/icofont/duotone/icofont.css	C:/My%20Web%20Sites/AykunCraftPROJECT/sgstudio.site/src/Module/icofont/duotone/icofont.css	(from https://sgstudio.site/)
15:04:28	11643/11643	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2013%20Nov%202023%2008:04:25%20GMT	https://kit.fontawesome.com/e330da5781.js	C:/My%20Web%20Sites/AykunCraftPROJECT/kit.fontawesome.com/e330da5781.js	(from https://sgstudio.site/)
15:04:28	36157/36157	---MCZ	200	added ('OK')	application/javascript	etag:W/%22164f14aeacd4590af316068ae653430e%22	https://sgstudio.site/src/Script/main.js	C:/My%20Web%20Sites/AykunCraftPROJECT/sgstudio.site/src/Script/main.js	(from https://sgstudio.site/)
15:04:34	207720/207720	---MCZ	200	added ('OK')	application/javascript	etag:W/%227bad589392c605ce7d3e97b4af3ea214%22	https://sgstudio.site/src/Module/bootstrap-5.3.1-dist/js/bootstrap.bundle.js	C:/My%20Web%20Sites/AykunCraftPROJECT/sgstudio.site/src/Module/bootstrap-5.3.1-dist/js/bootstrap.bundle.js	(from https://sgstudio.site/)
15:04:37	322991/322991	---M--	200	added ('OK')	image/gif	etag:%22a4bd1425ac40109c4b398d46b6fed2b7%22	https://sgstudio.site/src/Assets/About-Background.gif	C:/My%20Web%20Sites/AykunCraftPROJECT/sgstudio.site/src/Assets/About-Background.gif	(from https://sgstudio.site/src/Styles/style.css)
15:04:38	15630/15630	---M--	200	added ('OK')	image/png	etag:%22246ec82a988f747269c5c98ab10d9523%22	https://sgstudio.site/src/Assets/up-arrow.png	C:/My%20Web%20Sites/AykunCraftPROJECT/sgstudio.site/src/Assets/up-arrow.png	(from https://sgstudio.site/src/Styles/style.css)
15:04:39	23020/23020	---M--	200	added ('OK')	font/woff2	etag:%227fdcfbb57222fdaf959cd8dc14de38e0%22	https://sgstudio.site/src/Module/icofont/duotone/fonts/icofont.woff2	C:/My%20Web%20Sites/AykunCraftPROJECT/sgstudio.site/src/Module/icofont/duotone/fonts/icofont.woff2	(from https://sgstudio.site/src/Module/icofont/duotone/icofont.css)
15:04:39	626116/626116	---M--	200	added ('OK')	image/gif	etag:%2230196a26c2f38a7c4ce3e0b5c41160a1%22	https://sgstudio.site/src/Assets/scroll-animation.gif	C:/My%20Web%20Sites/AykunCraftPROJECT/sgstudio.site/src/Assets/scroll-animation.gif	(from https://sgstudio.site/src/Styles/style.css)
15:04:42	27832/27832	---M--	200	added ('OK')	font/woff	etag:%228d2bd8d25d44e24668ddf1156b1de223%22	https://sgstudio.site/src/Module/icofont/duotone/fonts/icofont.woff	C:/My%20Web%20Sites/AykunCraftPROJECT/sgstudio.site/src/Module/icofont/duotone/fonts/icofont.woff	(from https://sgstudio.site/src/Module/icofont/duotone/icofont.css)
15:04:45	2671742/2671742	---M--	200	added ('OK')	image/gif	etag:%229b0526ee29e6afc9e427e16ee2dafac5%22	https://sgstudio.site/src/Assets/profile.gif	C:/My%20Web%20Sites/AykunCraftPROJECT/sgstudio.site/src/Assets/profile.gif	(from https://sgstudio.site/src/Styles/style.css)
